Generation,Fitness,TrainingTime
0,0.9730,8.9486
1,0.9630,8.5161
2,0.9302,8.4057
3,0.9755,126.7683
4,0.9769,65.8393
5,0.9656,15.7428
6,0.9775,81.5306
7,0.2126,57.5686
8,0.9560,16.4359
9,0.9187,69.1945
1,0.9610,58.2497
2,0.9646,8.3856
3,0.9776,59.0146
4,0.9541,15.3302
5,0.9125,69.0124
6,0.9747,18.0220
7,0.9734,58.3858
8,0.9775,16.2619
9,0.9290,7.9872
1,0.9727,17.6992
2,0.9688,10.1858
3,0.9094,69.1805
4,0.9583,58.6827
5,0.9781,18.1710
6,0.9653,15.1799
7,0.9644,8.1283
8,0.9783,8.0269
9,0.9788,15.3816
1,0.9661,58.4357
2,0.9642,15.2533
3,0.8969,67.7944
4,0.9663,7.9800
5,0.9732,17.7333
6,0.9650,15.1773
7,0.9458,58.7019
8,0.9677,15.4393
9,0.9700,8.0319
1,0.9687,7.9490
2,0.9675,8.1112
3,0.9659,15.1818
4,0.9744,19.6092
5,0.9653,15.2049
6,0.9081,58.5833
7,0.9202,58.1525
8,0.9631,17.6206
9,0.9252,57.9679
